City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-12-05 23:02:11,-33.65,115.3333,61.05,67,58,17.4
1,Kavaratti,IN,2021-12-05 23:04:01,10.5669,72.642,80.69,72,60,12.48
2,Jieshi,CN,2021-12-05 23:04:45,22.8134,115.8257,57.94,61,23,8.63
3,Malanje,AO,2021-12-05 23:04:45,-9.5402,16.341,64.2,96,100,3.11
4,Mataura,NZ,2021-12-05 23:04:45,-46.1927,168.8643,54.48,47,92,5.06
5,Baykit,RU,2021-12-05 23:04:45,61.67,96.37,-8.07,96,100,3.04
6,Plastun,RU,2021-12-05 23:04:46,44.7561,136.2939,24.93,79,4,5.64
7,Padang,ID,2021-12-05 23:00:00,-0.9492,100.3543,73.45,86,99,3.91
8,Kodiak,US,2021-12-05 23:04:13,57.79,-152.4072,31.51,80,90,0.0
9,Talcahuano,CL,2021-12-05 23:00:15,-36.7167,-73.1167,58.75,79,7,5.66
10,Leningradskiy,RU,2021-12-05 23:03:32,69.3833,178.4167,-3.69,98,100,15.05
11,Sitka,US,2021-12-05 23:04:47,57.0531,-135.33,35.49,75,90,8.05
12,Siocon,PH,2021-12-05 23:04:47,7.7061,122.1353,78.42,82,97,6.76
13,Ushuaia,AR,2021-12-05 23:02:41,-54.8,-68.3,47.62,50,36,7.05
14,Jijiga,ET,2021-12-05 23:04:47,9.35,42.8,56.17,64,0,5.06
15,Bathsheba,BB,2021-12-05 23:04:48,13.2167,-59.5167,81.21,74,40,20.71
16,Kavieng,PG,2021-12-05 23:04:48,-2.5744,150.7967,82.63,79,95,7.31
17,Isangel,VU,2021-12-05 23:04:48,-19.55,169.2667,82.99,67,21,7.76
18,Praia,CV,2021-12-05 23:04:49,14.9215,-23.5087,72.14,83,0,18.41
19,Makakilo City,US,2021-12-05 23:04:49,21.3469,-158.0858,71.92,77,90,5.75
20,Bluff,NZ,2021-12-05 23:04:49,-46.6,168.3333,54.81,50,59,14.12
21,Albany,US,2021-12-05 23:04:49,42.6001,-73.9662,37.67,62,97,4.61
22,Tikhvin,RU,2021-12-05 23:04:50,59.6451,33.5294,-5.94,96,28,4.99
23,Salalah,OM,2021-12-05 23:04:50,17.0151,54.0924,71.31,41,0,7.54
24,Puerto Ayora,EC,2021-12-05 23:04:50,-0.7393,-90.3518,69.64,85,53,9.62
25,Bredasdorp,ZA,2021-12-05 23:02:12,-34.5322,20.0403,60.28,96,100,8.48
26,Kang,BW,2021-12-05 23:04:16,-23.6752,22.7876,68.68,76,69,5.14
27,Wattegama,LK,2021-12-05 23:04:51,6.7989,81.4808,73.11,96,5,1.99
28,Atuona,PF,2021-12-05 23:04:51,-9.8,-139.0333,78.46,76,5,18.14
29,Tasiilaq,GL,2021-12-05 23:04:48,65.6145,-37.6368,29.86,92,99,24.56
30,Vaini,TO,2021-12-05 23:03:03,-21.2,-175.2,84.36,84,40,11.5
31,Noumea,NC,2021-12-05 23:00:12,-22.2763,166.4572,84.99,99,90,5.14
32,Kahului,US,2021-12-05 23:04:52,20.8947,-156.47,73.85,90,90,9.22
33,Hilo,US,2021-12-05 23:04:52,19.7297,-155.09,76.73,91,90,17.27
34,Okha,RU,2021-12-05 23:04:53,53.5739,142.9478,8.33,94,84,5.86
35,Ballina,AU,2021-12-05 23:04:53,-28.8667,153.5667,68.18,98,72,7.92
36,Rikitea,PF,2021-12-05 23:04:53,-23.1203,-134.9692,76.5,74,99,8.61
37,Bambous Virieux,MU,2021-12-05 23:04:53,-20.3428,57.7575,78.22,71,28,11.32
38,Roebourne,AU,2021-12-05 23:04:54,-20.7833,117.1333,89.2,26,41,18.23
39,Port Blair,IN,2021-12-05 23:04:54,11.6667,92.75,78.39,70,24,11.43
40,Pochutla,MX,2021-12-05 23:04:55,15.7432,-96.4661,85.82,59,0,5.95
41,Dikson,RU,2021-12-05 23:04:55,73.5069,80.5464,-2.0,94,100,9.86
42,Cidreira,BR,2021-12-05 23:04:55,-30.1811,-50.2056,69.64,87,50,14.76
43,East London,ZA,2021-12-05 23:00:11,-33.0153,27.9116,68.79,94,100,4.61
44,Katsuura,JP,2021-12-05 23:04:56,35.1333,140.3,50.18,74,100,8.63
45,Nemuro,JP,2021-12-05 23:04:56,43.3236,145.575,38.12,73,3,15.3
46,Lebu,CL,2021-12-05 23:04:56,-37.6167,-73.65,61.21,74,0,14.38
47,Mount Pleasant,US,2021-12-05 23:04:57,32.7941,-79.8626,62.74,91,20,3.0
48,Avarua,CK,2021-12-05 23:03:47,-21.2078,-159.775,82.45,83,20,6.91
49,Hobyo,SO,2021-12-05 23:05:57,5.3505,48.5268,78.42,77,16,15.64
50,Khatanga,RU,2021-12-05 23:05:58,71.9667,102.5,-22.14,100,97,6.8
51,Margate,GB,2021-12-05 23:05:58,51.3813,1.3862,42.96,91,85,17.85
52,Barrow,US,2021-12-05 23:02:05,71.2906,-156.7887,12.22,79,90,21.85
53,Talnakh,RU,2021-12-05 23:02:32,69.4865,88.3972,-16.8,99,100,13.47
54,Jamestown,US,2021-12-05 23:02:14,42.097,-79.2353,44.02,37,90,11.01
55,Constitucion,CL,2021-12-05 23:01:20,-35.3333,-72.4167,63.73,68,5,4.94
56,Hami,CN,2021-12-05 23:03:29,42.8,93.45,29.12,52,99,5.37
57,Kainantu,PG,2021-12-05 23:05:59,-6.2887,145.8655,71.19,66,64,1.41
58,Bengkulu,ID,2021-12-05 23:01:58,-3.8004,102.2655,74.98,88,94,6.49
59,Hambantota,LK,2021-12-05 23:05:16,6.1241,81.1185,77.05,89,9,7.05
60,Saskylakh,RU,2021-12-05 23:05:59,71.9167,114.0833,-30.32,98,100,4.5
61,San Patricio,US,2021-12-05 23:06:00,28.017,-97.5169,79.21,79,100,14.2
62,Russell,US,2021-12-05 23:03:40,32.3502,-85.1999,67.37,80,1,0.0
63,Castro,BR,2021-12-05 23:06:00,-24.7911,-50.0119,63.46,90,88,3.58
64,Sao Joao Da Barra,BR,2021-12-05 23:04:16,-21.6403,-41.0511,75.6,85,32,14.14
65,Coquimbo,CL,2021-12-05 23:03:16,-29.9533,-71.3436,58.73,82,75,11.5
66,Mus,TR,2021-12-05 23:06:01,39.0,41.75,28.62,79,66,2.64
67,Hobart,AU,2021-12-05 23:05:31,-42.8794,147.3294,64.02,58,40,3.0
68,Airai,TL,2021-12-05 23:06:01,-8.9266,125.4092,65.5,85,99,1.07
69,Ponta Do Sol,PT,2021-12-05 23:05:03,32.6667,-17.1,65.03,71,27,9.31
70,Tuktoyaktuk,CA,2021-12-05 23:06:02,69.4541,-133.0374,-15.3,81,38,9.37
71,Fortuna,US,2021-12-05 23:05:30,40.5982,-124.1573,54.32,91,90,1.01
72,Popova,RU,2021-12-05 23:06:02,42.9603,131.7228,35.13,73,4,2.15
73,Hudiksvall,SE,2021-12-05 23:06:03,61.729,17.1036,11.5,85,100,5.14
74,Broken Hill,AU,2021-12-05 23:06:03,-31.95,141.4333,77.86,22,49,9.28
75,Provideniya,RU,2021-12-05 23:02:34,64.3833,-173.3,28.51,93,90,24.61
76,Lompoc,US,2021-12-05 23:03:06,34.6391,-120.4579,80.02,72,1,15.43
77,Upernavik,GL,2021-12-05 23:06:04,72.7868,-56.1549,25.09,74,100,3.29
78,Kruisfontein,ZA,2021-12-05 23:05:26,-34.0033,24.7314,62.89,92,73,10.11
79,Asau,RO,2021-12-05 23:06:04,46.4333,26.4,33.96,82,93,3.33
80,Hithadhoo,MV,2021-12-05 23:02:06,-0.6,73.0833,81.27,78,100,12.3
81,Petrovskaya,RU,2021-12-05 23:06:04,45.4314,37.955,45.09,83,100,1.7
82,Hargeysa,SO,2021-12-05 23:06:05,9.56,44.065,55.65,96,31,6.44
83,Iqaluit,CA,2021-12-05 23:06:05,63.7506,-68.5145,9.7,72,100,13.0
84,San Vicente,AR,2021-12-05 23:06:05,-26.6167,-54.1333,75.34,50,18,2.51
85,Eureka,US,2021-12-05 23:03:04,40.8021,-124.1637,54.57,84,70,3.0
86,Palmer,US,2021-12-05 23:06:06,42.1584,-72.3287,38.8,63,75,3.44
87,Khipro,PK,2021-12-05 23:06:06,25.8285,69.3772,65.28,22,0,6.85
