,city,country,lat,lng,max temp,humidity,cloudiness,wind,description
0,,,-78.49998295419573,-39.178206429987455,270.24,96,100,7.57,light snow
1,,,-58.32779618242079,50.454727728651164,272.32,92,100,24.17,light snow
2,Colònia de Sant Jordi,ES,38.790330535759836,2.7128475265640333,287.92,76,0,2.48,clear sky
3,,,-45.77386850885778,-30.27806677239169,283.35,92,14,7.86,few clouds
4,,,-67.93407962777975,-71.80514413705042,272.07,85,100,12.66,overcast clouds
5,,,-5.713847652370077,-1.6903801219944228,297.44,78,100,6.64,overcast clouds
6,,,77.3690873917611,-47.9520542608633,246.31,87,84,7.18,broken clouds
7,,,52.72501251527294,-17.347924186086857,281.61,58,63,11.83,broken clouds
8,,,9.064329403512673,-37.10700386593656,299.06,73,100,7.5,overcast clouds
9,Bouenza Department,CG,-3.935801311657528,14.26248133522678,294.51,97,100,0.57,overcast clouds
10,,,70.01072804213916,71.19519836738101,242.45,100,71,1.65,broken clouds
11,,,-2.3910357125009085,85.2805150910668,300.7,72,55,4.54,broken clouds
12,,,-64.86314389665864,-62.005748476345794,265.86,90,57,4.94,broken clouds
13,San Antonio de los Cobres,AR,-24.711014899184946,-66.91012549373158,282.52,23,0,7.19,clear sky
14,,,83.75892389407511,-30.72785893286997,242.15,100,69,3.03,broken clouds
15,,,38.15899001374544,-22.48509693260641,289.24,49,98,9.67,overcast clouds
16,,,-19.714314499774233,64.87091698286241,298.12,73,71,9.37,broken clouds
17,,,-87.58807223244764,52.637873288751564,242.11,94,58,2.11,broken clouds
18,,,-63.13258137849185,-59.483391990552896,272.58,90,100,9.12,overcast clouds
19,,,55.92305404664762,-17.986764065738726,280.54,54,100,13.31,overcast clouds
20,,,0.33446455784256557,-37.22613099557126,300.58,80,42,8.32,scattered clouds
21,,,-89.65410580463279,74.62869158109424,245.09,89,91,1.85,overcast clouds
22,,,-82.10679421094747,75.95904583719073,240.28,96,82,5.54,broken clouds
23,,,-25.592782026232726,74.72620838018216,296.13,69,17,9.8,few clouds
24,Zhitin,BY,53.28207259157671,28.209944603455924,274.42,98,100,2.18,light rain
25,,,-77.72516371519698,-47.03779306379883,271.17,96,100,8.18,light snow
26,,,-25.508025657925785,41.47815492958969,298.54,85,90,5.5,overcast clouds
27,,,23.74099412036786,-38.08400945430671,296.68,66,85,11.71,overcast clouds
28,,,82.64479148003599,-14.942992910502511,242.04,100,24,1.54,few clouds
29,,,-29.13487711119533,62.53225541065825,295.83,76,2,7.47,light rain
30,,,-72.06904821544413,-11.42751354782682,256.99,99,75,0.58,broken clouds
31,,,-3.6369384777505047,-23.222273549895107,300.03,79,99,7.78,overcast clouds
32,,,-56.32690027549917,-86.68560093186122,276.87,97,100,9.74,light rain
33,Simpelveld,NL,50.822290739328366,5.997522763954024,281.89,95,75,0.89,broken clouds
34,,,9.149210955418539,68.94111674025774,300.33,75,27,4.43,scattered clouds
35,,,-5.899564274558969,79.7421940573955,299.97,80,100,6.68,overcast clouds
36,Lábrea,BR,-7.152767336708905,-64.64738318929115,296.69,93,98,1.35,overcast clouds
37,,,-7.081108713161356,-28.26182407266458,299.72,77,5,9.17,clear sky
38,,,-56.749789731793754,83.84424406319613,273.61,98,100,11.77,snow
39,Los Frentones,AR,-26.65285296472809,-61.47891770588468,302.3,50,76,3.05,broken clouds
40,,,86.69136809241516,-89.25554552862387,246.13,100,95,3.02,overcast clouds
41,Palheiros de Mira,PT,40.63106284620926,-9.347129004125591,286.39,80,7,5.97,clear sky
42,,,-69.00239820379561,-4.973264482017598,263.74,98,48,3.12,scattered clouds
43,Kpandu,GH,7.327372446116954,0.08736993890835265,299.42,76,11,2.76,few clouds
44,,,-39.43364182604317,-41.057794488597196,288.67,95,97,4.94,overcast clouds
45,,,35.83140020110879,-48.562439109871455,294.05,77,19,9.6,few clouds
46,Valledupar,CO,10.562008412042147,-73.42156402523025,292.6,66,48,2.5,scattered clouds
47,,,19.219189742868664,26.22304893608937,288.78,47,0,4.35,clear sky
48,,,-68.31315061515977,-54.3787247085972,271.86,85,100,6.96,overcast clouds
49,Ouanani,KM,-13.17991661669042,44.028091058298116,300.19,74,100,4.19,light rain
50,,,-74.27239588242391,-52.05276725554551,272.51,97,100,10.46,snow
51,,,-17.422250228064073,8.26691628015567,292.51,89,95,8.28,overcast clouds
52,,,43.340268792770416,-21.800368450387026,286.04,60,99,15.43,overcast clouds
53,,,-52.484936438342,-8.348580014293788,274.07,79,96,12.81,overcast clouds
54,,,-7.669032338549826,67.01758887337672,300.16,80,61,5.46,broken clouds
55,,,-79.45021992306305,-63.46436010907558,269.7,91,100,7.25,overcast clouds
56,Puerto Deseado,AR,-47.503912810395065,-66.4163146240231,283.93,52,71,6.05,broken clouds
57,,,-45.90436482100861,13.652256321231263,280.04,88,100,11.12,light rain
58,,,64.02405966122615,-6.112792384934025,278.44,83,100,7.85,overcast clouds
59,Tyshkivka,UA,48.473237502917556,30.943747374156544,277.12,83,100,4.49,overcast clouds
60,,,-54.51063366069045,-81.68076566082232,278.76,76,100,10.23,overcast clouds
61,Yusta,RU,47.00300570016205,45.98516002768528,270.06,62,100,6.19,overcast clouds
62,Leshukonskoye,RU,65.46365870207532,45.39781935253433,259.84,95,78,2.79,broken clouds
63,,,-71.70861250752169,11.352748963377309,249.5,65,1,4.81,clear sky
64,,,17.61547634446343,-32.78538282148309,297.31,63,100,11.09,overcast clouds
